fold,feature_name,feature_position,repeat,importance,baseline_roc_auc,validation_sample_count,validation_malignant_count,validation_benign_count
1,mean radius,1,1,-0.0010319917440659854,0.9891640866873066,91,34,57
1,mean radius,1,2,0.002063983488132193,0.9891640866873066,91,34,57
1,mean radius,1,3,-0.007739938080495223,0.9891640866873066,91,34,57
1,mean radius,1,4,0.002063983488132193,0.9891640866873066,91,34,57
1,mean radius,1,5,-0.0041279669762641635,0.9891640866873066,91,34,57
1,mean radius,1,6,-0.005675954592363253,0.9891640866873066,91,34,57
1,mean radius,1,7,1.1102230246251565e-16,0.9891640866873066,91,34,57
1,mean radius,1,8,0.002063983488132193,0.9891640866873066,91,34,57
1,mean radius,1,9,0.002063983488132193,0.9891640866873066,91,34,57
1,mean radius,1,10,-0.0025799793601650745,0.9891640866873066,91,34,57
1,mean texture,2,1,0.002063983488132193,0.9891640866873066,91,34,57
1,mean texture,2,2,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean texture,2,3,0.0015479876160992,0.9891640866873066,91,34,57
1,mean texture,2,4,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean texture,2,5,-0.0025799793601650745,0.9891640866873066,91,34,57
1,mean texture,2,6,0.005159958720330371,0.9891640866873066,91,34,57
1,mean texture,2,7,0.003095975232198289,0.9891640866873066,91,34,57
1,mean texture,2,8,0.002063983488132193,0.9891640866873066,91,34,57
1,mean texture,2,9,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean texture,2,10,0.001547987616099089,0.9891640866873066,91,34,57
1,mean perimeter,3,1,-0.0010319917440659854,0.9891640866873066,91,34,57
1,mean perimeter,3,2,0.001547987616099089,0.9891640866873066,91,34,57
1,mean perimeter,3,3,-0.006707946336429238,0.9891640866873066,91,34,57
1,mean perimeter,3,4,0.002063983488132193,0.9891640866873066,91,34,57
1,mean perimeter,3,5,-0.004643962848297156,0.9891640866873066,91,34,57
1,mean perimeter,3,6,-0.004643962848297156,0.9891640866873066,91,34,57
1,mean perimeter,3,7,1.1102230246251565e-16,0.9891640866873066,91,34,57
1,mean perimeter,3,8,0.0015479876160992,0.9891640866873066,91,34,57
1,mean perimeter,3,9,0.002063983488132193,0.9891640866873066,91,34,57
1,mean perimeter,3,10,-0.0020639834881319707,0.9891640866873066,91,34,57
1,mean area,4,1,-0.0005159958720329927,0.9891640866873066,91,34,57
1,mean area,4,2,0.003611971104231282,0.9891640866873066,91,34,57
1,mean area,4,3,-0.007739938080495223,0.9891640866873066,91,34,57
1,mean area,4,4,0.0010319917440660964,0.9891640866873066,91,34,57
1,mean area,4,5,-0.0041279669762640525,0.9891640866873066,91,34,57
1,mean area,4,6,-0.005675954592363253,0.9891640866873066,91,34,57
1,mean area,4,7,1.1102230246251565e-16,0.9891640866873066,91,34,57
1,mean area,4,8,0.002063983488132193,0.9891640866873066,91,34,57
1,mean area,4,9,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean area,4,10,-0.001547987616098867,0.9891640866873066,91,34,57
1,mean smoothness,5,1,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,2,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,3,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,4,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,5,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,6,0.0015479876160992,0.9891640866873066,91,34,57
1,mean smoothness,5,7,1.1102230246251565e-16,0.9891640866873066,91,34,57
1,mean smoothness,5,8,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,9,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean smoothness,5,10,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean compactness,6,1,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean compactness,6,2,0.0,0.9891640866873066,91,34,57
1,mean compactness,6,3,0.0015479876160992,0.9891640866873066,91,34,57
1,mean compactness,6,4,0.0,0.9891640866873066,91,34,57
1,mean compactness,6,5,0.0015479876160992,0.9891640866873066,91,34,57
1,mean compactness,6,6,0.0015479876160992,0.9891640866873066,91,34,57
1,mean compactness,6,7,0.0,0.9891640866873066,91,34,57
1,mean compactness,6,8,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean compactness,6,9,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean compactness,6,10,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean concavity,7,1,1.1102230246251565e-16,0.9891640866873066,91,34,57
1,mean concavity,7,2,0.0010319917440662074,0.9891640866873066,91,34,57
1,mean concavity,7,3,-0.005675954592363142,0.9891640866873066,91,34,57
1,mean concavity,7,4,0.003095975232198178,0.9891640866873066,91,34,57
1,mean concavity,7,5,-0.00361197110423106,0.9891640866873066,91,34,57
1,mean concavity,7,6,-0.0010319917440659854,0.9891640866873066,91,34,57
1,mean concavity,7,7,0.0,0.9891640866873066,91,34,57
1,mean concavity,7,8,0.0005159958720331037,0.9891640866873066,91,34,57
1,mean concavity,7,9,0.002063983488132193,0.9891640866873066,91,34,57
