rank,feature_name,feature_position,mean_importance,std_importance,median_importance,min_importance,max_importance,positive_fraction,fold_count,observation_count
1,worst texture,22,0.005593395252837971,0.0046085623527440875,0.004385964912280715,-0.001547987616098978,0.016511867905056765,0.88,5,50
2,radius error,11,0.0020227038183694467,0.0025659143585244834,0.0015479876160990336,-0.001547987616098867,0.009287925696594423,0.7,5,50
3,worst radius,21,0.0019917440660474806,0.0032367112297927735,0.002063983488132193,-0.006191950464396134,0.00877192982456143,0.68,5,50
4,worst area,24,0.001775025799793608,0.0032150666034025956,0.0020639834881320818,-0.00722394220846212,0.009803921568627416,0.68,5,50
5,worst concave points,28,0.0016718266253870052,0.0028824977143916196,0.001547987616099089,-0.00361197110423106,0.008255933952528438,0.64,5,50
6,mean texture,2,0.001671826625387003,0.0021454611508987787,0.001547987616099089,-0.0025799793601650745,0.007223942208462231,0.74,5,50
7,worst perimeter,23,0.0015067079463364319,0.002884909594503488,0.001547987616099089,-0.006191950464396245,0.007223942208462342,0.66,5,50
8,worst smoothness,25,0.0014551083591331372,0.0021684609924936737,0.0012899896800825927,-0.003611971104231171,0.007223942208462453,0.76,5,50
9,area error,14,0.001341589267285861,0.002191665744850144,0.0012899896800824817,-0.004643962848297156,0.006191950464396356,0.66,5,50
10,compactness error,16,0.0012590299277605733,0.0012603102033414265,0.0010319917440660409,-0.0005159958720329927,0.004643962848297156,0.74,5,50
11,mean concave points,8,0.0011764705882352944,0.002424810881624717,0.0010319917440660409,-0.006707946336429238,0.006191950464396245,0.64,5,50
12,mean area,4,0.0011042311661506798,0.0026557603296421166,0.0010319917440660964,-0.007739938080495223,0.006707946336429238,0.7,5,50
13,mean radius,1,0.000990712074303417,0.0026492665425691085,0.0015479876160990336,-0.007739938080495223,0.006191950464396356,0.68,5,50
14,fractal dimension error,20,0.0009184726522187936,0.0011807544409184333,0.0010319917440659854,-0.0010319917440660964,0.0041279669762642746,0.74,5,50
15,mean perimeter,3,0.0008875128998968163,0.0024315242268004834,0.0010319917440659854,-0.006707946336429238,0.006191950464396356,0.66,5,50
16,perimeter error,13,0.0008875128998968095,0.001885226874615475,0.0005159958720329927,-0.0041279669762640525,0.006191950464396356,0.56,5,50
17,worst symmetry,29,0.0008359133126935037,0.0026493690917790006,0.0010319917440660409,-0.0041279669762641635,0.005159958720330149,0.56,5,50
18,worst concavity,27,0.0007739938080495467,0.0019285678095165787,0.0005159958720329372,-0.00361197110423106,0.00515995872033026,0.58,5,50
19,mean concavity,7,0.0006604747162022773,0.0019307923389349586,0.0005159958720329927,-0.005675954592363142,0.006191950464396245,0.54,5,50
20,smoothness error,15,0.0004747162022703821,0.0012415452319874574,0.0005159958720329927,-0.0041279669762641635,0.0025799793601651855,0.56,5,50
21,texture error,12,0.0003921568627451011,0.0006216473136461439,0.0005159958720329927,-0.0010319917440660964,0.002063983488132193,0.6,5,50
22,worst compactness,26,0.00035087719298247053,0.0008497242194303214,0.0,-0.0010319917440659854,0.0025799793601650745,0.38,5,50
23,worst fractal dimension,30,0.00030959752321984,0.000787046900488844,0.00025799793601644083,-0.0010319917440662074,0.0020639834881320818,0.5,5,50
24,mean compactness,6,0.0003095975232198156,0.0004777193497278727,0.0,-0.0005159958720331037,0.0015479876160992,0.4,5,50
25,concave points error,18,0.00028895768833848035,0.0013478121477976568,0.0005159958720329927,-0.005675954592363142,0.003095975232198178,0.56,5,50
26,mean smoothness,5,0.00027863777089783383,0.0008089049605560259,0.0005159958720329372,-0.0010319917440660964,0.0025799793601649634,0.58,5,50
27,symmetry error,19,0.00027863777089783383,0.0006610437777221102,0.00025799793601644083,-0.0010319917440660964,0.001547987616099089,0.5,5,50
28,mean symmetry,9,0.0002167182662538769,0.0008912348615840959,0.0005159958720329927,-0.0020639834881320818,0.0020639834881319707,0.62,5,50
29,concavity error,17,0.00015479876160992445,0.0005540799195920969,0.0,-0.0005159958720329927,0.002063983488132193,0.4,5,50
30,mean fractal dimension,10,0.00011351909184728059,0.0016492440815553983,0.0005159958720329927,-0.006191950464396245,0.003095975232198067,0.62,5,50
